id,created_by,created_date,last_modified_by,last_modified_date,is_active,title,description,work_schedule,radius_unit,location_state,location_list,role_location,resume_option,budget,status,error,template_question_id,template_question_name,question_form_description,redirect_url,start_date,end_date,close_date,group_id,minor_id,campaign_id,company_id,history_status,ref_id
2,admin,2022-06-19 14:14:00.473549,myuser,2022-07-27 08:18:53.421507,1,PHP Developer,Description,FULL_TIME,,,,REMOTE,REQUIRED,50,1,,16,,,http://,,,,10,1,1,1,2,2
3,admin,2022-06-19 14:14:16.614284,admin,2022-07-27 08:18:53.421507,0,Java Developer,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,17,,,http://,,,,10,1,1,1,1,3
4,admin,2022-06-19 14:14:22.626135,admin,2022-07-27 08:18:53.421507,0,C# Developer,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,18,,,http://,,,,10,1,1,1,1,4
5,admin,2022-04-26 14:14:35.064878,admin,2022-07-27 08:18:53.421507,0,NodeJS Developer,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,19,,,http://,,,,10,1,1,1,1,5
6,admin,2022-04-26 14:14:51.745082,admin,2022-07-27 08:18:53.421507,0,Photoshop,Description,Full Time,,,,REMOTE,Optional,,2,,20,,,http://,,,,10,1,1,1,1,6
7,admin,2022-04-26 14:15:01.305626,admin,2022-07-27 08:18:53.421507,0,Figma Team,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,21,,,http://,,,,10,1,1,1,1,7
8,admin,2022-04-26 14:15:16.894945,admin,2022-07-27 08:18:53.421507,0,IS Team,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,22,,,http://,,,,10,1,1,1,1,8
9,admin,2022-04-26 14:15:25.859392,admin,2022-07-27 08:18:53.421507,0,Design Team,Description,FULL_TIME,,,,REMOTE,REQUIRED,,2,,23,,,http://,,,,10,1,1,1,1,9
39,admin,2022-04-29 08:28:54.445527,admin,2022-07-27 08:18:53.421507,0,123,123123,Full Time,,,,,Required,,3,,,,,123123123123,,,,,1,1,1,1,39
40,admin,2022-04-29 08:28:54.445000,admin,2022-07-27 08:18:53.421507,0,123,123123,Full Time,,,,,Required,,2,,,,,123123123123,,,,10,1,1,1,1,40
